gender,age
Female,58
None of these,67
Male,68
Female,46
Male,19
Male,87
Female,78
Male,88
Male,55
Female,61
Female,54
Male,61
Female,22
Male,87
Female,51
Male,78
Female,37
Female,26
Male,79
Female,46
Female,51
Female,81
Female,44
Female,80
Male,31
Male,63
Female,40
Male,65
Male,72
Female,57
Male,66
Female,49
Female,40
Female,42
Female,32
Female,57
Female,73
Male,76
Male,55
Female,60
Transgender,52
Male,57
Female,82
Male,68
Female,29
Female,39
Female,41
Female,NA
Male,85
Male,80
Female,75
Male,73
Male,40
Female,55
Female,80
Male,70
Male,60
Male,40
Female,60
Female,60
Male,59
Female,72
Female,48
Female,68
Female,40
Female,25
Female,32
Male,39
Female,68
Female,75
Female,41
Female,37
Male,66
Male,58
Female,54
Female,53
Male,23
Female,33
Female,26
Female,58
Male,69
Male,47
Male,25
Male,62
Male,42
Male,59
Female,39
Female,50
Male,NA
Male,67
Female,54
Male,30
Female,28
Male,84
Female,73
Male,46
Female,43
Female,52
Female,51
Female,NA
Female,79
Female,NA
Female,38
Female,57
Female,51
Female,50
Female,42
Male,55
Male,70
Female,64
Female,67
Male,41
Female,80
Female,84
Male,65
Female,87
Female,61
Female,55
Female,NA
Male,NA
Male,58
Female,62
Male,66
Male,63
Male,33
Female,55
Female,69
Female,75
NA,40
Male,68
Female,61
Male,82
Female,77
Female,53
Female,72
Female,NA
Male,31
Female,67
Female,79
Female,67
Female,74
Female,70
Female,77
Male,65
Female,52
NA,21
Female,79
Female,46
Female,81
Female,58
Female,27
Female,28
Female,52
Female,NA
Female,26
Male,34
Female,70
Male,75
None of these,45
Female,49
Male,38
Male,40
Female,46
Female,53
Female,57
Female,43
Male,53
Male,57
Female,38
Male,NA
Male,74
Male,61
Male,67
Male,40
Male,86
Female,71
Male,25
Female,51
Female,64
Female,68
Male,64
Female,60
Male,73
Male,45
Female,60
Female,29
Male,27
Male,51
Female,54
Female,35
Female,37
Female,50
Female,36
Female,59
Female,62
Male,69
Female,49
Male,75
Female,67
NA,NA
Female,28
Female,62
Female,62
Female,34
Female,70
Female,31
Female,31
Male,74
Female,33
Male,41
Male,76
Female,41
Male,68
Male,71
Female,47
Female,36
Female,73
Female,69
Female,39
Female,75
Female,35
Male,45
Male,53
Female,52
Female,55
NA,NA
Female,37
Male,49
Female,82
Male,41
NA,NA
Male,67
Female,51
Female,52
Female,72
Female,71
Female,64
Male,NA
Male,43
Male,NA
Female,44
Male,74
Male,37
Female,58
Male,20
NA,NA
NA,NA
Male,33
Female,45
Female,77
Female,54
Male,48
Female,48
Male,73
Female,30
Male,46
Female,49
Female,46
Male,80
Female,41
Female,32
Female,32
Female,34
Male,NA
Female,40
Male,24
Female,63
Female,60
Male,56
Male,39
Female,61
Female,71
NA,NA
Female,48
Female,26
Male,66
Female,38
Female,63
Female,38
Female,36
Female,74
Female,41
Female,63
Male,52
Male,NA
Male,21
Male,81
Female,70
Male,33
Female,61
Female,62
Female,56
Female,47
Female,41
NA,28
Female,63
Female,57
Female,49
Male,35
NA,35
Male,36
Female,56
Male,69
Male,52
Female,43
NA,NA
Female,41
Female,NA
Male,75
Male,67
Male,48
Male,89
Male,54
Female,36
Female,59
Male,29
Female,39
Male,77
Female,54
Female,26
Male,66
Female,45
Male,62
Male,53
Male,NA
Female,59
Female,29
Male,38
Female,60
Female,59
Male,29
Male,89
Female,64
Male,69
Female,66
Male,66
Female,39
Female,62
Female,50
Female,70
Male,83
Male,60
Female,32
NA,NA
Female,61
Male,26
Female,46
Female,57
Female,43
Female,61
Female,57
Female,58
Male,40
Female,30
Male,NA
Female,53
Male,65
Male,50
Male,84
Male,49
Female,75
Female,73
Female,30
Female,89
Male,NA
Female,50
Male,39
Female,56
Female,67
Male,76
Female,60
Male,48
Male,64
Male,40
Female,51
Male,31
Female,NA
Male,79
Female,79
Male,24
Female,61
Female,33
Male,86
Male,46
Male,32
Female,59
Female,41
Male,82
Male,45
Female,NA
Female,73
Female,74
Female,29
Female,66
Female,42
Male,81
Male,73
Male,40
Female,87
Male,60
Male,47
Male,77
Male,72
Male,68
Female,72
Female,21
Female,68
Female,29
Female,52
Female,74
Female,41
Male,61
Male,63
Male,42
Female,62
Male,26
Male,56
Female,31
Male,33
Female,75
Female,74
Female,27
Male,88
Female,44
Female,71
Female,71
Female,62
Male,50
Female,31
Female,56
Male,57
Female,NA
Male,79
Male,42
Female,NA
Female,68
Female,59
Female,62
Male,67
Female,74
Male,21
Female,56
Female,79
Female,42
NA,NA
Female,88
Female,79
Male,46
Female,86
Male,77
Female,57
Female,69
Female,58
Male,33
Female,37
Female,63
Female,65
Female,47
Male,53
Male,77
Female,84
Female,61
Male,52
Female,78
Female,55
Male,70
Female,66
Female,49
Male,47
Female,NA
Female,41
Male,64
Male,34
Male,49
Female,89
Female,36
Male,52
Female,89
Female,40
Female,48
Female,58
Male,79
Male,46
Female,54
Male,60
Male,22
Male,70
Male,25
Female,89
Female,72
Female,60
Male,38
Female,77
Male,64
Female,74
Male,66
Male,75
Female,61
Female,68
Female,35
Male,67
Male,65
Female,67
Female,72
Male,56
Male,56
Male,28
Female,25
Male,55
Female,24
Male,21
Male,78
Female,37
Male,60
Male,32
Female,28
Female,63
Male,23
Female,60
Female,73
Male,27
Female,40
Female,66
Male,85
Female,59
Female,78
Male,34
Male,35
Male,60
Female,NA
Female,40
Male,27
Female,54
Female,59
Male,50
Female,36
Female,60
Female,70
Female,59
Female,29
Male,72
Female,65
Male,45
Male,64
Male,26
Transgender,32
Male,35
Female,30
Female,70
Female,NA
Male,46
Male,33
Male,74
Male,63
Male,33
Female,36
Male,59
Male,77
Female,31
Female,47
Male,62
NA,NA
Female,42
Male,22
Male,79
Male,73
Male,30
Female,56
Female,52
Male,33
Male,53
NA,NA
Male,35
Male,51
Female,32
Male,NA
Male,NA
Female,NA
Female,64
Female,NA
Male,35
Female,75
Female,60
Female,75
Female,40
Male,74
Female,47
Female,56
Female,25
Male,37
Female,42
Male,42
Male,26
Female,63
Female,68
NA,NA
Female,80
Male,61
Female,25
Male,58
Male,24
Male,55
None of these,35
Female,34
Female,68
Female,48
Male,35
Male,54
Male,38
Female,43
Male,NA
Male,60
Female,59
Male,49
NA,NA
Male,34
Male,25
Female,60
Female,31
Female,81
Female,54
Female,62
Female,54
Female,69
Female,38
Female,39
Female,51
Female,63
Male,50
Male,68
Female,60
Male,32
Female,32
Male,67
Male,67
Male,21
Female,67
Female,25
Female,66
Female,43
Female,42
Female,59
Female,54
Male,42
Female,33
Male,40
Female,34
Female,58
Female,40
Female,28
Male,58
Male,26
Female,NA
Female,22
Female,57
Male,51
Male,33
Female,42
Male,76
Female,65
Male,58
Male,64
Female,35
Male,41
Female,72
Female,65
Female,68
Female,34
NA,NA
Female,77
Male,79
Male,20
Male,66
Male,57
Female,29
Female,27
Female,38
Female,47
NA,NA
Female,36
Male,30
Male,57
Female,53
Female,51
Female,56
Female,58
Female,NA
Female,32
Male,63
Male,59
Male,51
Female,57
Male,59
Female,38
Male,76
Male,41
Female,36
Male,60
Female,40
Female,31
Female,NA
Female,29
Female,33
Female,55
Female,39
Male,45
Male,54
Male,70
Female,28
Female,NA
Female,57
Male,51
Female,73
Female,52
Female,74
Female,29
Female,56
Female,55
Male,63
Male,68
Male,37
Female,45
Female,37
Female,77
Female,NA
Male,69
Female,36
Female,34
Male,NA
Female,26
Male,82
Female,33
Female,60
Male,64
Female,81
Female,42
Female,19
NA,NA
Male,74
Female,62
Male,40
Female,46
Male,33
Male,62
Male,54
Male,53
Female,33
Female,72
Female,35
Female,51
Male,34
Male,73
Female,53
Female,75
Female,36
Male,27
Female,23
Female,51
Male,29
Female,31
Male,39
Male,48
Male,66
Female,63
Female,59
Female,69
NA,NA
Female,60
Male,81
Female,NA
Female,45
Male,NA
Female,57
Female,43
Female,37
Female,42
Male,48
Female,22
Female,37
Female,48
Female,37
Female,67
Male,38
Female,88
Male,67
Female,55
Female,54
Male,72
Male,49
Female,63
Female,63
NA,NA
Male,50
Male,66
Female,39
Male,75
Female,61
Male,19
Female,42
Female,47
Male,43
Female,24
Female,46
Female,77
Female,40
Male,33
Male,75
Male,62
Female,53
Female,35
Male,23
Male,28
Female,35
Female,NA
Female,63
Male,26
Male,48
Male,64
Male,68
Male,NA
Male,24
Male,48
Male,40
Male,NA
Female,74
Female,34
Male,43
Male,44
Female,45
Male,65
Female,34
Female,59
Female,74
Male,NA
Male,26
Female,NA
Male,54
Male,29
Male,75
Female,34
Female,70
Male,47
Female,72
Female,20
Male,73
Female,36
Female,51
Male,24
Female,50
Male,42
Male,85
Female,57
Male,67
Female,74
Male,42
Male,41
Male,32
Female,47
Female,47
Male,42
Male,54
Female,75
Male,51
Female,58
Female,57
Female,42
Male,34
Female,NA
Male,75
Male,59
Male,29
Male,57
Male,29
Female,44
Female,71
Male,37
NA,NA
Male,NA
Male,57
Female,58
Male,22
Female,71
Female,21
Male,69
Female,23
Male,40
Male,34
Female,41
Male,38
Male,75
Female,66
Male,41
Female,25
Female,45
Female,73
Female,22
Female,31
Male,27
Female,46
Male,41
Female,53
Male,37
Male,36
Female,20
Female,39
Male,47
Female,50
Female,70
Female,60
Female,32
Male,41
Female,26
NA,NA
Female,75
